0.143,Date,Positive,Rec,Death,Case,New
0,3/11/2020,0,0,0,0,0
1,3/12/2020,0,0,0,0,0
2,3/13/2020,3,0,0,3,3
3,3/14/2020,9,0,0,9,6
4,3/15/2020,20,0,0,20,11
5,3/16/2020,34,0,0,34,14
6,3/17/2020,45,0,1,44,11
7,3/18/2020,50,0,1,49,5
8,3/19/2020,51,0,1,50,1
9,3/20/2020,58,0,1,57,7
10,3/21/2020,68,0,3,65,10
11,3/22/2020,76,0,3,73,8
12,3/23/2020,82,0,5,77,6
13,3/24/2020,87,0,5,82,5
14,3/25/2020,91,0,5,86,4
15,3/26/2020,95,0,5,90,4
16,3/27/2020,110,5,5,100,15
17,3/28/2020,118,9,5,104,8
18,3/29/2020,129,9,5,115,11
19,3/30/2020,135,9,7,119,6
20,3/31/2020,156,14,8,134,21
21,4/1/2020,188,14,8,166,32
22,4/2/2020,211,17,9,185,23
23,4/3/2020,239,18,9,212,28
24,4/4/2020,254,18,10,226,15
25,4/5/2020,264,19,12,233,10
26,4/6/2020,273,34,12,227,9
27,4/7/2020,288,39,12,237,15
28,4/8/2020,306,39,12,255,18
29,4/9/2020,312,39,13,260,6
30,4/10/2020,327,53,13,261,15
31,4/11/2020,334,53,13,268,7
32,4/12/2020,341,53,14,274,7
33,4/13/2020,348,53,14,281,7
34,4/14/2020,363,54,14,295,15
35,4/15/2020,371,54,14,303,8
36,4/16/2020,387,54,14,319,16
37,4/17/2020,397,55,14,328,10
38,4/18/2020,403,57,14,332,6
39,4/19/2020,408,64,14,330,5
40,4/20/2020,414,68,14,332,6
41,4/21/2020,436,88,15,333,22
42,4/22/2020,455,105,16,334,19
43,4/23/2020,459,131,16,312,4
44,4/24/2020,468,148,16,304,9
45,4/25/2020,478,150,16,312,10
46,4/26/2020,485,179,16,290,7
47,4/27/2020,488,194,16,278,3
48,4/28/2020,496,204,16,276,8
49,4/29/2020,502,216,16,270,6
50,4/30/2020,507,222,17,268,5
51,5/1/2020,509,255,17,237,2
52,5/2/2020,518,271,17,230,9
53,5/3/2020,523,282,17,224,5
54,5/4/2020,523,301,17,205,0
55,5/5/2020,525,310,17,198,2
56,5/6/2020,536,334,17,185,11
57,5/7/2020,537,329,17,191,1
58,5/8/2020,538,334,17,187,1
59,5/9/2020,542,350,17,175,4
60,5/10/2020,543,360,17,166,1
61,5/11/2020,543,369,17,157,0
62,5/12/2020,543,375,17,151,0
63,5/13/2020,544,390,17,137,1
64,5/14/2020,544,399,17,128,0
65,5/15/2020,544,405,17,122,0
66,5/16/2020,544,428,17,99,0
67,5/17/2020,544,432,17,95,0
68,5/18/2020,544,435,17,92,0
69,5/19/2020,544,437,17,90,0
70,5/20/2020,544,439,17,88,0
71,5/21/2020,544,455,17,72,0
72,5/22/2020,545,459,17,69,1
73,5/23/2020,545,464,17,64,0
74,5/24/2020,545,470,17,58,0
75,5/25/2020,549,473,17,59,4
76,5/26/2020,549,473,17,59,0
77,5/27/2020,552,476,17,59,3
78,5/28/2020,552,486,17,49,0
79,5/29/2020,552,499,17,36,0
80,5/30/2020,552,501,17,34,0
81,5/31/2020,552,508,17,27,0
82,6/1/2020,552,508,17,27,0
83,6/2/2020,552,519,17,16,0
84,6/3/2020,552,520,17,15,0
85,6/4/2020,552,523,17,12,0
86,6/5/2020,553,524,17,12,1
87,6/6/2020,553,525,17,11,0
88,6/7/2020,555,525,17,13,2
89,6/8/2020,555,531,17,7,0
90,6/9/2020,556,531,17,8,1
91,6/10/2020,556,533,17,6,0
92,6/11/2020,556,533,17,6,0
93,6/12/2020,556,534,17,5,0
94,6/13/2020,556,534,17,5,0
95,6/14/2020,557,534,17,6,1
96,6/15/2020,557,534,17,6,0
97,6/16/2020,560,534,17,9,3
98,6/17/2020,561,534,17,10,1
99,6/18/2020,565,534,17,14,4
100,6/19/2020,566,535,17,14,1
101,6/20/2020,566,535,17,14,0
102,6/21/2020,569,535,17,17,3
103,6/22/2020,569,535,17,17,0
104,6/23/2020,569,535,17,17,0
105,6/24/2020,570,535,17,18,1
106,6/25/2020,570,537,17,16,0
107,6/26/2020,570,537,17,16,0
108,6/27/2020,570,537,17,16,0
109,6/28/2020,571,537,17,17,1
110,6/29/2020,571,537,17,17,0
111,6/30/2020,571,538,17,16,0
112,7/1/2020,571,544,17,10,0
113,7/2/2020,571,544,17,10,0
114,7/3/2020,571,545,17,9,0
115,7/4/2020,571,545,17,9,0
116,7/5/2020,571,546,17,8,0
117,7/6/2020,572,549,17,6,1
118,7/7/2020,572,551,17,4,0
119,7/8/2020,573,551,17,5,1
120,7/9/2020,573,551,17,5,0
121,7/10/2020,575,552,17,6,2
122,7/11/2020,577,552,18,8,2
123,7/12/2020,579,552,18,10,2
124,7/13/2020,580,552,18,11,1
125,7/14/2020,580,552,18,10,0
126,7/15/2020,583,554,18,11,3
127,7/16/2020,584,554,18,12,1
128,7/17/2020,594,554,18,22,10
129,7/18/2020,601,554,18,29,7
130,7/19/2020,607,554,18,35,6
131,7/20/2020,608,554,18,36,1
132,7/21/2020,619,556,18,45,11
133,7/22/2020,628,556,18,54,9
134,7/23/2020,632,556,18,58,4
135,7/24/2020,641,556,18,67,9
136,7/25/2020,649,561,18,70,8
137,7/26/2020,650,563,19,68,1
138,7/27/2020,650,563,19,68,0
139,7/28/2020,675,564,19,92,25
140,7/29/2020,677,565,19,93,2
141,7/30/2020,677,571,19,87,0
142,7/31/2020,678,579,19,80,1
143,8/1/2020,678,591,19,68,0
144,8/2/2020,678,594,19,65,0
145,8/3/2020,678,599,19,60,0
146,8/4/2020,678,607,19,52,0
